signal_date,scan_time,rank,code,name,scan_price,scan_change_pct,scan_volume_ratio,scan_turnover_rate,scan_amplitude,scan_vol_vs_ma5,scan_ma5_dev,rule_score,rule_score_pct,adaptive_score,final_score,status,settle_time,same_day_close,same_day_return_pct,hit_limit_up,next_exit_price,next_return_pct,success,data_source,market_captured_at,enrich_score,enrich_notes
2026-04-28,2026-04-28 14:04:36,12,603682,锦和商管,8.34,6.24,0.0,0.0,0.0,2.8,7.71,57,54,,57.0,settled,2026-04-29 13:38:23,,,0.0,8.33,-0.1199040767386083,0.0,,,,
2026-04-28,2026-04-28 14:04:36,13,600535,天士力,15.09,0.73,0.0,0.0,0.0,3.71,4.09,57,54,,57.0,settled,2026-04-29 13:38:23,,,0.0,15.1,0.0662690523525411,0.0,,,,
2026-04-28,2026-04-28 14:04:36,14,605089,味知香,28.87,1.73,0.0,0.0,0.0,3.5,3.5,57,54,,57.0,settled,2026-04-29 13:38:23,,,0.0,29.25,1.3162452372705191,1.0,,,,
2026-04-28,2026-04-28 14:04:36,15,002216,三全食品,14.62,1.32,0.0,0.0,0.0,3.13,6.54,57,54,,57.0,settled,2026-04-29 13:38:23,,,0.0,14.64,0.1367989056087593,0.0,,,,
2026-04-28,2026-04-28 14:04:36,16,603353,和顺石油,39.74,6.23,0.0,0.0,0.0,1.53,1.37,56,53,,56.0,settled,2026-04-29 13:38:23,,,0.0,39.78,0.1006542526421627,0.0,,,,
2026-04-28,2026-04-28 14:04:36,17,000523,红棉股份,3.38,3.68,0.0,0.0,0.0,1.87,0.87,56,53,,56.0,settled,2026-04-29 13:38:23,,,0.0,3.41,0.887573964497057,0.0,,,,
2026-04-28,2026-04-28 14:04:36,18,605266,健之佳,19.79,3.56,0.0,0.0,0.0,1.81,1.28,56,53,,56.0,settled,2026-04-29 13:38:23,,,0.0,19.89,0.5053057099545288,0.0,,,,
2026-04-28,2026-04-28 14:04:36,19,601918,新集能源,8.67,2.73,0.0,0.0,0.0,1.62,5.18,56,53,,56.0,settled,2026-04-29 13:38:23,,,0.0,8.73,0.6920415224913601,0.0,,,,
2026-04-28,2026-04-28 14:04:36,20,605268,王力安防,14.05,5.24,0.0,0.0,0.0,1.5,2.14,55,52,,55.0,settled,2026-04-29 13:38:23,,,0.0,14.04,-0.0711743772242146,0.0,,,,
2026-04-28,2026-04-28 14:14:34,17,603320,迪贝电气,25.23,2.64,0.0,0.0,0.0,1.54,3.43,56,53,,56.0,settled,2026-04-29 13:38:23,,,0.0,24.92,-1.2286959968291655,0.0,新浪,2026-04-28 14:14:28,,
2026-04-28,2026-04-28 14:14:34,20,000066,中国长城,17.79,6.08,0.0,0.0,0.0,1.42,4.25,55,52,,55.0,settled,2026-04-29 13:38:23,,,0.0,17.74,-0.2810567734682467,0.0,新浪,2026-04-28 14:14:28,,
