date,code,open,close,high,low,volume,amount,change_pct,amplitude,turnover_rate,volume_ratio_5,volume_ratio_10,turnover_ratio_5,ma5_dev,ma10_dev,ma20_dev,return_3d,return_5d,return_10d,volatility_10d,price_position_10d,ma_bull_aligned,next_date,next_open_return,next_close_return,next_touch_limit_up,next_close_limit_up,score
2026-04-15,002552,19.78,20.36,20.97,19.63,377993,778980019.81,6.82,7.03,10.26,3.0933184720360467,4.508337597250101,3.0940892641737032,7.383966244725726,14.963297571993216,19.402985074626855,10.532030401737224,16.21004566210045,27.249999999999996,3.2426919208932805,88.31417624521075,1,2026-04-16,6.150793650793651,6.746031746031744,0,0,95.0
2026-04-15,002606,11.57,12.32,12.77,11.55,655416,813217135.31,6.12,10.51,15.56,3.1888477710235494,3.87387802724297,3.1872183531339617,4.212485197090188,7.261013407626682,6.995527378522715,3.529411764705892,3.529411764705892,11.493212669683261,4.128342623578248,78.36538461538464,0,2026-04-16,-1.3787510137875048,-0.8110300081102917,0,0,95.0
2026-04-15,603037,14.01,14.73,14.8,13.8,155104,224199602.0,4.69,7.11,5.83,3.199471925409464,3.368377161645359,3.1997804610318337,7.127272727272738,9.97461549947738,9.447561020916151,10.007468259895447,9.925373134328353,12.614678899082566,2.9987811862795715,96.8181818181818,0,2026-04-16,0.7539410555174708,1.0966415352981596,0,0,95.0
2026-04-16,603206,16.7,17.54,18.16,16.6,189749,334325297.0,6.24,9.45,6.22,4.570194706976117,4.29771851663945,4.566813509544787,7.186506966511863,8.452358869721156,10.85479538631693,11.082963901203291,8.674101610904582,12.652536929993573,2.974449457512335,78.98305084745759,1,2026-04-17,0.5807200929152323,0.5807200929152323,0,0,105.0
2026-04-16,002446,9.96,10.48,10.55,9.87,655105,674184991.32,5.22,6.83,7.73,2.746614868082994,3.039378934030995,2.746979388770434,4.528226610811892,5.6771200968034785,6.726411731758231,6.938775510204076,5.645161290322576,5.115346038114343,2.6480145908261163,92.9292929292929,1,2026-04-17,2.038834951456292,2.038834951456292,0,0,102.0
2026-04-16,600300,3.47,3.66,3.72,3.45,814642,294076499.0,5.48,7.78,5.04,2.5856101992080434,2.48698870685697,2.589928057553957,4.095563139931735,5.021520803443313,5.263157894736836,4.2735042735042805,7.964601769911495,2.521008403361358,2.6131975404879064,86.36363636363636,1,2026-04-17,-1.6528925619834767,-1.377410468319551,0,0,102.0
2026-04-16,600676,7.59,8.06,8.3,7.51,326098,261109979.0,6.61,10.45,3.17,3.5261690711661196,3.2815421430684673,3.530066815144766,4.729729729729737,5.8576306803257205,7.010090281465775,6.4729194187582495,4.134366925064592,6.052631578947376,3.0510400003413674,78.18181818181817,1,2026-04-17,-0.7462686567163979,-1.1194029850746134,0,0,102.0
2026-04-16,603110,16.59,17.6,17.9,16.59,189692,329804180.0,6.09,7.9,9.43,2.570902713589088,2.2391757785802056,2.5722858701582108,5.401844532279321,8.662097919367806,9.835247129306035,8.241082410824108,10.483364720652876,10.344827586206918,3.3289905446542747,90.22801302931605,1,2026-04-17,1.3105413105413133,0.512820512820511,0,0,102.0
2026-04-16,605580,23.39,23.14,23.87,22.29,89325,205304180.0,3.86,7.09,3.19,3.0792167947878246,3.1123801825093467,3.079150579150579,3.859964093357271,6.049495875343713,8.123262388150376,5.662100456621011,7.179249652616959,8.58751759737213,2.309489505296227,77.32919254658385,1,2026-04-17,-1.9022913964548138,-2.075226977950717,0,0,102.0
2026-04-16,001300,17.1,17.65,18.54,17.1,147427,263588669.68,4.01,8.49,6.05,4.409493330142968,4.644320884590546,4.416058394160584,5.022015946685698,8.421893236685275,6.778789437067068,8.481868469575904,10.866834170854256,7.621951219512191,3.0583588681145213,74.27745664739882,0,2026-04-17,4.415137614678888,5.9633027522935755,0,0,100.0
