date,code,pre_close,price,change_pct,turnover_rate_daily,next_day_open_return,is_strong_open,is_limit_up,ma5_dev,ma10_dev,return_5d,return_10d,vol_vs_ma5,ma_bull_aligned,price_position_10d,volatility_10d,hist_limit_up_rate_20d,recent_high_touch_count,avg_amplitude_20d,score
2026-04-17,000819,14.78939450921399,15.73,6.36,4.43,-0.445,0,0,5.5988,6.2479,6.0688,7.9616,4.0328,1,82.5641,2.8881,0.0,0,3.1992,72.0
2026-04-17,002559,10.450467646497422,10.95,4.78,9.26,-0.4566,0,0,3.9097,8.4266,8.4158,20.1976,2.0333,1,91.0314,2.58,0.0,0,3.9804,72.0
2026-04-17,002963,14.789853037536274,15.8,6.83,6.24,1.2025,1,0,6.7712,8.0416,9.8748,10.3352,2.297,1,92.5926,3.6848,0.0,1,5.0092,72.0
2026-04-17,002967,21.35969141755063,22.15,3.7,3.55,1.5801,1,0,4.5008,6.7264,7.4721,10.1442,3.1407,1,79.9331,1.9147,0.0,0,2.408,72.0
2026-04-17,600288,15.059897318881916,15.84,5.18,4.41,-1.3889,0,0,4.4166,6.6379,6.7385,12.5,4.2896,1,83.0357,2.0487,0.0,0,2.8704,72.0
2026-04-17,600531,14.040307101727448,14.63,4.2,7.94,0.0684,0,0,5.4795,7.5656,7.9705,13.0603,2.0661,1,78.8235,3.6795,0.0,1,4.022,72.0
2026-04-17,600577,12.460033853676887,13.25,6.34,5.04,-0.8302,0,0,5.5104,6.8204,5.9153,11.532,2.2379,1,83.6066,2.7633,0.0,0,4.1736,72.0
2026-04-17,601933,3.969863807592003,4.11,3.53,4.45,-0.2433,0,0,4.2089,7.3107,10.4839,9.6,2.8239,1,70.0,2.0995,0.0,0,2.9952,72.0
2026-04-17,600776,15.62004292245964,16.74,7.17,9.07,1.2545,1,0,6.4209,7.9165,7.7914,12.5,5.0918,1,81.8182,2.9255,0.0,0,3.4732,70.0
2026-04-17,603212,13.07016715459439,13.84,5.89,6.61,-0.7948,0,0,5.3914,7.2286,8.0406,6.135,3.5822,0,95.4373,2.9336,0.0,0,4.252,70.0
2026-04-17,603375,39.73073351903435,42.79,7.7,13.74,-2.3136,0,0,6.2736,9.1442,9.4933,14.8417,4.9949,1,87.7193,2.5801,0.0,0,3.6556,70.0
2026-04-20,002123,9.959545366981313,10.34,3.82,5.62,-0.9671,0,0,2.8856,3.4,3.1936,8.159,2.5436,1,70.9091,2.6702,0.0,0,3.2728,75.0
2026-04-20,002813,24.24953095684803,25.85,6.6,5.12,-0.9671,0,0,5.1069,5.7606,5.6396,9.8598,4.1412,1,92.1348,2.6293,0.0,0,3.2748,75.0
2026-04-20,600391,40.18129770992366,42.11,4.8,8.42,-0.38,0,0,4.0472,4.7538,4.8034,9.2631,2.8133,1,80.2607,2.8019,0.0,0,3.976,75.0
2026-04-20,003019,33.23956868260666,35.45,6.65,7.7,-0.0282,0,0,3.4976,5.8525,2.3975,15.2096,2.5041,1,99.6008,3.6713,0.0,1,3.8176,73.0
2026-04-20,000725,4.019955866832966,4.19,4.23,3.28,0.0,0,0,3.4057,4.0218,3.9702,6.6158,2.7963,1,85.7143,1.6691,0.0,0,2.0308,72.0
2026-04-20,002106,10.63971779959958,11.16,4.89,4.06,-1.1649,0,0,3.7946,4.6217,4.5923,10.6046,3.4135,1,82.8125,2.0878,0.0,0,3.2572,72.0
2026-04-20,002151,38.48072127373873,40.12,4.26,7.66,-0.2991,0,0,3.5889,5.1749,6.4756,12.1297,2.2295,1,98.1609,2.2031,0.0,0,3.8792,72.0
2026-04-20,002600,13.790504898266766,14.64,6.16,3.39,-0.9563,0,0,5.1271,7.4653,6.4727,18.2553,2.8665,1,91.0256,2.536,0.0,0,3.0292,72.0
2026-04-20,600882,19.250780437044746,20.35,5.71,3.23,0.7862,1,0,4.7457,5.8738,3.6151,15.9544,2.732,1,95.4023,2.8627,0.0,0,3.3972,72.0
2026-04-20,601113,4.469962987567619,4.71,5.37,4.54,-0.2123,0,0,4.4809,5.2279,6.0811,11.8765,2.5447,1,75.0,2.7297,0.0,0,3.2564,72.0
2026-04-20,603336,9.45000945000945,10.0,5.82,4.08,-0.1,0,0,5.1525,7.1696,9.7695,14.1553,3.1773,1,91.9118,2.7283,0.0,0,3.7276,72.0
2026-04-20,605007,14.54954532670854,15.52,6.67,4.28,-1.5464,0,0,7.5239,9.073,10.5413,15.994,3.1497,1,96.4758,3.0083,0.0,0,3.528,72.0
2026-04-20,000803,8.179939894815929,8.71,6.48,10.7,-0.4592,0,0,4.6121,3.6658,5.4479,5.5758,4.0116,0,73.3333,3.6396,0.0,0,5.3056,70.0
2026-04-20,002392,7.150087420631269,7.77,8.67,5.44,2.9601,1,0,6.3509,6.7601,7.1724,13.4307,5.3497,1,90.6542,3.3831,0.0,1,3.3672,70.0
2026-04-20,002887,11.189477697293176,11.74,4.92,4.14,-1.0221,0,0,3.0005,3.0548,2.354,11.597,2.784,1,83.9506,2.5693,4.0,1,4.7908,70.0
2026-04-20,600101,9.299875490853367,9.71,4.41,6.91,-0.7209,0,0,3.7172,4.6787,3.8503,7.8889,2.5581,0,96.0,1.7974,0.0,0,4.158,70.0
2026-04-20,600784,7.449966484726612,7.78,4.43,4.24,-0.3856,0,0,5.6491,7.7115,9.2697,13.5766,2.2732,1,71.4286,1.5951,0.0,0,3.3308,69.0
2026-04-20,603916,10.609953373299078,11.15,5.09,3.08,-0.1794,0,0,3.1834,3.279,3.6245,8.2524,2.2761,1,90.3226,2.3316,0.0,0,3.046,69.0
2026-04-20,605358,36.60161381122161,39.01,6.58,4.48,-0.3332,0,0,6.4858,9.2748,9.333,20.2528,2.2309,1,98.105,3.176,0.0,0,3.5484,69.0
2026-04-20,000901,23.120772946859905,23.93,3.5,6.26,-0.1254,0,0,3.0577,5.3721,6.1197,12.4002,1.757,1,99.6552,2.1463,0.0,0,3.4084,68.0
2026-04-21,002228,3.87016229712859,4.03,4.13,6.1,-0.7444,0,0,2.7537,2.99,3.866,3.866,4.1199,1,68.75,1.9873,0.0,0,2.9808,75.0
2026-04-21,002722,14.690130068859983,15.36,4.56,5.07,-0.7161,0,0,3.504,4.1497,4.5609,7.0383,4.5341,1,80.3738,1.8394,0.0,0,2.7276,75.0
2026-04-21,002763,8.109900521080057,8.56,5.55,8.71,-0.3505,0,0,5.0565,5.4057,5.5487,7.8086,4.8894,1,64.0,1.949,0.0,0,3.4848,75.0
2026-04-21,002774,11.19946984758118,11.83,5.63,8.56,-2.2823,0,0,6.5382,8.0958,9.7403,12.1327,5.3869,1,87.7698,2.1463,0.0,0,3.63,75.0
2026-04-21,002887,11.73970532678504,12.43,5.88,6.56,-0.4023,0,0,7.0813,7.8993,9.2267,11.4798,3.2202,1,81.8182,2.546,4.0,1,5.1096,75.0
2026-04-21,002972,13.040553526811456,13.57,4.06,11.02,-0.8843,0,0,3.7779,4.0325,4.8686,5.6854,4.3201,1,90.2174,1.5947,0.0,0,3.894,75.0
2026-04-21,603466,9.700125349532351,10.06,3.71,9.26,-1.6899,0,0,4.1839,5.1312,6.0063,10.307,2.925,1,80.7692,2.5399,0.0,0,3.052,75.0
2026-04-21,001286,11.040240127567769,11.77,6.61,4.32,-1.2744,0,0,4.2885,5.2396,4.5293,7.0974,2.9922,1,85.0877,2.5196,0.0,0,3.1412,72.0
2026-04-21,001335,43.129953213023974,45.17,4.73,8.91,0.0,0,0,4.3091,7.0024,10.7651,11.7516,2.2374,1,90.8108,2.331,0.0,0,3.6124,72.0
2026-04-21,002414,13.689450507371244,14.3,4.46,5.82,-1.049,0,0,5.2399,5.364,4.2274,12.1569,2.1971,1,80.1047,3.1812,0.0,0,3.1396,72.0
2026-04-21,002668,9.350207782395165,9.9,5.88,3.62,-0.7071,0,0,5.0732,6.6351,7.7258,10.6145,4.7203,1,92.7835,2.0094,0.0,0,2.0304,72.0
