代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score,enrich_score,enrich_notes
002655,共达电声,31.52,2.67,0.0,0.0,0.0,65017231,202040.2,4.58,1.02,44,41,新浪,2026-04-30 20:18:22,91.14,55.785,0.0,
603637,镇海股份,16.88,5.04,0.0,0.0,0.0,16535473,27610.2,0.23,0.72,45,42,新浪,2026-04-30 20:18:22,87.99,55.7475,0.0,
601500,通用股份,4.66,6.39,0.0,0.0,0.0,77070416,35836.7,1.54,1.03,44,41,新浪,2026-04-30 20:18:22,90.3,55.575,0.0,
001287,中电港,26.46,3.28,0.0,0.0,0.0,34599314,90774.9,0.77,1.33,46,43,新浪,2026-04-30 20:18:22,83.37,55.3425,0.0,
002780,三夫户外,16.77,2.57,0.0,0.0,0.0,17534273,29250.4,1.12,1.33,46,43,新浪,2026-04-30 20:18:22,82.74000000000001,55.185,0.0,
600895,张江高科,36.62,4.42,0.0,0.0,0.0,40232088,146444.2,-3.17,1.68,48,45,新浪,2026-04-30 20:18:22,75.81,54.9525,0.0,
002937,兴瑞科技,33.55,2.29,0.0,0.0,0.0,6206864,20629.6,0.59,1.24,46,43,新浪,2026-04-30 20:18:22,81.48,54.870000000000005,0.0,
603527,众源新材,12.96,4.35,0.0,0.0,0.0,29455757,37691.7,1.87,1.5,45,42,新浪,2026-04-30 20:18:22,84.42,54.855000000000004,0.0,
002472,双环传动,39.27,2.53,0.0,0.0,0.0,19076075,74725.4,0.76,1.51,46,43,新浪,2026-04-30 20:18:22,80.22,54.555,0.0,
603066,音飞储存,11.6,2.38,0.0,0.0,0.0,17508859,20388.2,7.85,7.53,53,50,新浪,2026-04-30 20:18:22,58.800000000000004,54.45,0.0,
002706,良信股份,11.57,2.21,0.0,0.0,0.0,74181470,85321.2,3.36,1.02,44,41,新浪,2026-04-30 20:18:22,85.67999999999999,54.42,0.0,
603926,铁流股份,21.75,6.05,0.0,0.0,0.0,13904187,30227.1,1.41,0.84,43,40,新浪,2026-04-30 20:18:22,88.41,54.3525,0.0,
600546,山煤国际,14.06,2.4,0.0,0.0,0.0,41279779,57609.7,3.17,1.11,44,41,新浪,2026-04-30 20:18:22,85.05000000000001,54.2625,0.0,
603868,飞科电器,34.5,2.07,0.0,0.0,0.0,2205920,7547.2,3.07,1.11,44,41,新浪,2026-04-30 20:18:22,84.21000000000001,54.0525,0.0,
600906,财达证券,6.42,5.77,0.0,0.0,0.0,102578556,66833.8,-3.77,3.34,50,47,新浪,2026-04-30 20:18:22,66.15,54.0375,0.0,
600844,金煤科技,3.73,4.19,0.0,0.0,0.0,86626876,32295.9,1.2,1.06,44,41,新浪,2026-04-30 20:18:22,84.0,54.0,0.0,
002757,南兴股份,23.16,1.71,0.0,0.0,0.0,32604313,76175.3,3.87,1.99,45,42,新浪,2026-04-30 20:18:22,80.85000000000001,53.962500000000006,0.0,
600378,昊华科技,36.4,2.05,0.0,0.0,0.0,21064615,75625.6,2.71,1.05,44,41,新浪,2026-04-30 20:18:22,83.79,53.947500000000005,0.0,
601339,百隆东方,9.29,5.69,0.0,0.0,0.0,16327665,14986.2,0.83,0.68,43,40,新浪,2026-04-30 20:18:22,86.52,53.879999999999995,0.0,
002397,梦洁股份,4.83,2.55,0.0,0.0,0.0,29911399,14234.2,2.37,1.17,44,41,新浪,2026-04-30 20:18:22,83.16000000000001,53.790000000000006,0.0,
002659,凯文教育,5.34,1.71,0.0,0.0,0.0,12768400,6796.5,3.14,1.83,45,42,新浪,2026-04-30 20:18:22,80.01,53.7525,0.0,
