代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct
603180,金牌家居,19.09,1.54,1.97,0.75,2.23,11539,2189.1,0.95,1.91,61,58
002677,浙江美大,7.69,0.52,2.15,2.79,7.45,153688,11291.4,1.91,2.0,61,58
002702,海欣食品,5.76,3.04,1.4,4.26,5.37,195482,11056.1,2.45,1.35,61,58
003015,日久光电,16.0,4.17,1.15,3.28,5.01,81067,12774.7,0.2,1.21,61,58
002965,祥鑫科技,30.46,2.18,1.53,3.83,5.6,72845,22359.8,-0.14,1.48,61,58
001336,楚环科技,26.73,2.14,1.29,3.17,4.43,14769,3894.6,1.93,1.29,61,58
603729,龙韵股份,17.3,2.0,1.35,3.25,4.95,29994,5083.1,2.28,1.29,61,58
002552,宝鼎科技,21.52,2.97,1.2,4.46,5.07,164185,35454.7,-0.24,1.25,61,58
603515,欧普照明,20.74,4.75,1.24,0.48,4.49,35170,7191.0,1.57,1.21,61,58
002923,润都股份,12.54,2.87,1.21,3.56,3.36,91929,11383.1,1.64,1.25,61,58
002360,同德化工,6.29,4.49,1.19,12.08,11.63,393136,24231.3,-1.47,1.04,61,58
002549,凯美特气,20.28,1.5,1.33,13.28,4.6,919134,186902.4,2.44,1.25,60,57
000955,欣龙控股,5.14,1.98,1.32,3.33,5.56,179225,9006.8,1.54,1.33,60,57
603506,南都物业,12.68,2.76,1.58,2.28,3.89,42842,5374.8,2.42,1.49,60,57
603989,艾华集团,20.14,3.55,1.21,2.19,4.27,87198,17363.1,2.37,1.17,60,57
600630,龙头股份,8.16,2.0,1.55,2.08,3.5,88342,7120.2,2.26,1.4,60,57
003007,直真科技,45.03,3.14,1.21,8.17,6.5,58715,26233.2,1.81,1.19,60,57
603002,宏昌电子,15.15,5.28,0.99,8.64,8.13,979893,144446.6,6.47,0.99,60,57
603255,鼎际得,30.22,3.21,1.4,2.69,5.46,16335,4848.3,2.3,1.49,60,57
603037,凯众股份,14.78,3.36,1.36,2.85,6.01,75868,11060.8,0.63,1.35,60,57
000690,宝新能源,5.46,4.2,0.82,7.89,7.06,1716270,92679.9,1.79,0.7,60,57
603985,恒润股份,26.39,4.1,0.91,12.48,7.26,550331,143924.8,4.94,0.9,60,57
600366,宁波韵升,13.14,2.74,1.33,2.79,3.05,306491,40018.2,2.05,1.29,60,57
605136,丽人丽妆,10.83,2.36,1.35,2.65,4.82,106178,11376.6,1.54,1.45,60,57
603183,建研院,4.78,2.8,1.13,4.46,5.38,221567,10361.2,2.36,1.04,60,57
600858,银座股份,5.68,2.53,1.52,2.1,4.15,108530,6092.7,1.65,1.48,60,57
002636,金安国纪,44.1,6.7,0.92,5.87,8.52,424812,185687.1,1.79,0.88,60,57
600869,远东股份,17.24,6.29,0.97,5.59,11.04,1239983,210069.5,4.13,0.95,60,57
000025,特  力Ａ,16.07,2.82,1.65,1.57,4.8,61642,9807.5,0.89,1.52,59,56
600310,广西能源,5.27,3.54,1.0,13.69,10.81,2007108,103386.3,4.48,0.94,59,56
600927,永安期货,14.5,2.84,1.55,0.69,2.48,100190,14429.6,0.39,1.46,59,56
002672,东江环保,4.38,3.06,1.82,1.47,4.24,133244,5757.2,3.4,1.82,59,56
603015,弘讯科技,12.15,4.02,1.42,2.12,5.57,85854,10283.3,0.75,1.36,59,56
605180,华生科技,15.33,1.66,1.69,1.5,7.23,25296,3813.5,1.81,1.64,59,56
002213,大为股份,36.52,2.47,1.25,19.49,3.59,402579,146512.4,2.42,1.29,59,56
603207,小方制药,27.73,0.95,1.89,2.5,3.28,13574,3694.8,0.05,1.96,59,56
002394,联发股份,12.23,-1.21,2.32,5.54,5.98,179082,21408.0,-8.11,2.8,59,56
002585,双星新材,8.02,5.25,0.97,5.63,6.96,499509,39390.6,3.16,1.09,59,56
600714,金瑞矿业,18.31,1.44,1.25,6.89,10.36,198445,35638.5,-0.56,1.37,58,55
002878,元隆雅图,18.66,3.04,1.05,5.1,3.87,120349,22336.9,1.04,1.1,58,55
001266,宏英智能,32.66,2.54,1.33,3.43,5.59,19897,6411.9,0.46,1.42,58,55
601208,东材科技,36.07,5.47,0.98,6.06,4.82,611948,218699.0,1.83,0.99,58,55
002700,万憬能源,6.8,2.41,1.47,2.96,4.22,63675,4257.7,2.04,1.56,58,55
600706,曲江文旅,9.5,2.7,1.49,3.83,4.76,97367,9047.5,0.76,1.48,58,55
001238,浙江正特,47.99,3.09,1.46,0.5,4.06,5226,2482.6,1.63,1.73,57,54
601101,昊华能源,9.89,1.12,1.57,4.29,7.77,617658,60735.8,7.76,1.35,57,54
603193,润本股份,26.58,1.41,1.13,8.26,3.01,85329,22424.6,3.46,1.13,57,54
002935,天奥电子,21.46,3.92,0.78,4.09,5.67,169642,35734.0,1.42,0.76,57,54
603312,西典新能,39.16,-2.83,2.62,6.37,6.1,32461,12421.8,-4.06,2.65,57,54
002316,亚联发展,5.22,2.35,1.19,3.84,4.12,130869,6741.0,0.85,1.21,57,54
000676,智度股份,7.1,-3.79,3.09,4.95,6.91,622942,43055.8,-4.6,3.13,57,54
600773,西藏城投,26.08,5.76,1.12,4.78,7.79,454984,117711.9,8.11,1.13,57,54
000985,大庆华科,19.71,3.25,1.56,1.63,4.3,21099,4099.2,2.78,1.66,57,54
