代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score
600989,XD宝丰能,30.84,3.98,0.0,0.0,0.0,110137984,335147.5,4.03,1.06,46,43,新浪,2026-04-28 14:14:28,,46.0
002859,洁美科技,48.83,3.04,0.0,0.0,0.0,13813180,67248.8,1.74,1.29,46,43,新浪,2026-04-28 14:14:28,,46.0
002274,华昌化工,6.89,6.0,0.0,0.0,0.0,56729563,38913.8,2.2,1.08,46,43,新浪,2026-04-28 14:14:28,,46.0
603065,宿迁联盛,8.37,2.57,0.0,0.0,0.0,11712400,9948.2,0.34,1.51,46,43,新浪,2026-04-28 14:14:28,,46.0
001210,金房能源,20.68,2.48,0.0,0.0,0.0,3575368,7320.7,-2.8,3.39,46,43,新浪,2026-04-28 14:14:28,,46.0
601898,中煤能源,18.56,6.12,0.0,0.0,0.0,53515896,96836.1,1.89,1.03,46,43,新浪,2026-04-28 14:14:28,,46.0
000421,南京公用,6.31,4.99,0.0,0.0,0.0,26693711,16904.3,0.3,1.36,45,42,新浪,2026-04-28 14:14:28,,45.0
000539,粤电力Ａ,7.21,4.64,0.0,0.0,0.0,199533071,138124.1,2.71,0.96,45,42,新浪,2026-04-28 14:14:28,,45.0
600790,轻纺城,4.01,1.52,0.0,0.0,0.0,16948496,6734.9,3.95,1.96,45,42,新浪,2026-04-28 14:14:28,,45.0
600333,长春燃气,5.85,1.21,0.0,0.0,0.0,22850201,13329.4,5.67,1.8,45,42,新浪,2026-04-28 14:14:28,,45.0
002191,劲嘉股份,3.78,5.88,0.0,0.0,0.0,72767425,27821.4,0.56,1.41,45,42,新浪,2026-04-28 14:14:28,,45.0
000828,东莞控股,10.35,1.77,0.0,0.0,0.0,7406601,7618.9,0.38,1.53,45,42,新浪,2026-04-28 14:14:28,,45.0
600323,瀚蓝环境,31.39,1.85,0.0,0.0,0.0,6481920,20164.9,4.2,1.79,45,42,新浪,2026-04-28 14:14:28,,45.0
002577,雷柏科技,16.27,1.5,0.0,0.0,0.0,3233600,5273.6,2.59,1.55,45,42,新浪,2026-04-28 14:14:28,,45.0
002676,顺威股份,7.13,1.14,0.0,0.0,0.0,19961550,14049.9,3.25,1.72,45,42,新浪,2026-04-28 14:14:28,,45.0
